"Realized Gain/Loss - Lot Details for Designated_Bene_Individual as of Mon Aug 24  11:04:26 EDT 2026 from 01/01/2026 to 08/24/2026","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"SLV","ISHARES SILVER TRUST","08/24/2026","07/09/2026","200","$62.32","$54.17","$12,464.06","$10,835.00","$1,629.06","15.035163820951%","","$1,629.06","Short Term","$10,835.00","No","","08/24/2026","","","","","","",""
"MSTR 08/14/2026 118.00 C","CALL STRATEGY INC $118 EXP 08/14/26","08/14/2026","08/06/2026","1","$0.28","$0.00","$28.34","$0.00","$28.34","100%","","$28.34","Short Term","$0.00","No","","08/14/2026","","","","","","",""
"MSTR 08/14/2026 87.00 P","PUT STRATEGY INC $87 EXP 08/14/26","08/14/2026","08/06/2026","1","$0.76","$0.00","$76.34","$0.00","$76.34","100%","","$76.34","Short Term","$0.00","No","","08/14/2026","","","","","","",""
"SPCX 08/14/2026 90.00 P","PUT SPACE EX TECH SPACEX $90 EXP 08/14/26","08/11/2026","08/11/2026","1","$0.53","$0.01","$53.34","$1.01","$52.33","98.106486689164%","","$52.33","Short Term","$1.01","No","","08/10/2026","","","","","","",""
"MSTR 08/07/2026 87.00 P","PUT STRATEGY INC $87 EXP 08/07/26","08/07/2026","08/07/2026","1","$1.64","$0.05","$164.34","$5.01","$159.33","96.951442132165%","","$159.33","Short Term","$5.01","No","","08/06/2026","","","","","","",""
"PLTR 08/07/2026 106.00 P","PUT PALANTIR TECHNOLOGIES INC $106 EXP 08/07/26","08/07/2026","07/24/2026","1","$1.62","$0.00","$162.34","$0.00","$162.34","100%","","$162.34","Short Term","$0.00","No","","08/07/2026","","","","","","",""
"AMAT 08/07/2026 400.00 P","PUT APPLIED MATLS INC $400 EXP 08/07/26","08/06/2026","08/06/2026","1","$1.24","$0.09","$124.34","$8.66","$115.68","93.035225993244%","","$115.68","Short Term","$8.66","No","","08/05/2026","","","","","","",""
"TSLA 08/07/2026 280.00 P","PUT TESLA INC $280 EXP 08/07/26","08/06/2026","08/06/2026","1","$1.78","$0.08","$178.34","$7.66","$170.68","95.70483346417%","","$170.68","Short Term","$7.66","No","","08/05/2026","","","","","","",""
"AMAT 07/31/2026 460.00 P","PUT APPLIED MATLS INC $460 EXP 07/31/26","08/03/2026","08/03/2026","1","$4.04","$0.07","$404.33","$6.66","$397.67","98.352830608661%","","$397.67","Short Term","$6.66","No","","07/31/2026","","","","","","",""
"AMZN 07/31/2026 215.00 P","PUT AMAZON.COM INC $215 EXP 07/31/26","08/03/2026","08/03/2026","1","$2.24","$0.01","$224.34","$1.01","$223.33","99.549790496568%","","$223.33","Short Term","$1.01","No","","07/31/2026","","","","","","",""
