"Realized Gain/Loss - Lot Details for Designated_Bene_Joint as of Mon Aug 24  11:03:58 EDT 2026 from 01/01/2026 to 08/24/2026","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"GOOG","ALPHABET INC CLASS C","08/17/2026","07/28/2026","50","$341.05","$328.96","$17,052.52","$16,448.25","$604.27","3.673764686213%","","$604.27","Short Term","$16,448.25","No","","08/17/2026","","","","","","",""
"GOOG","ALPHABET INC CLASS C","08/17/2026","07/23/2026","50","$341.05","$317.25","$17,052.52","$15,862.25","$1,190.27","7.50379044587%","","$1,190.27","Short Term","$15,862.25","No","","08/17/2026","","","","","","",""
"GOOG","ALPHABET INC CLASS C","08/17/2026","06/15/2026","50","$341.05","$364.35","$17,052.52","$18,217.50","-$1,164.98","-6.394840126252%","","-$1,164.98","Short Term","$18,217.50","No","","08/17/2026","","","","","","",""
"GOOG","ALPHABET INC CLASS C","08/17/2026","06/04/2026","50","$341.05","$360.00","$17,052.52","$18,000.00","-$947.48","-5.263777777778%","","-$947.48","Short Term","$18,000.00","No","","08/17/2026","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE CLASS A","08/04/2026","07/01/2026","50","$157.51","$124.92","$7,875.58","$6,246.25","$1,629.33","26.084930958575%","","$1,629.33","Short Term","$6,246.25","No","","08/04/2026","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE CLASS A","08/04/2026","06/22/2026","50","$157.51","$122.00","$7,875.59","$6,100.00","$1,775.59","29.108032786885%","","$1,775.59","Short Term","$6,100.00","No","","08/04/2026","","","","","","",""
"HD","HOME DEPOT INC","07/29/2026","05/13/2026","60","$341.00","$305.29","$20,460.17","$18,317.40","$2,142.77","11.698002991691%","","$2,142.77","Short Term","$18,317.40","No","","07/29/2026","","","","","","",""
"HD","HOME DEPOT INC","07/29/2026","03/20/2026","10","$341.00","$324.04","$3,410.03","$3,240.43","$169.60","5.23387328225%","","$169.60","Short Term","$3,240.43","No","","07/29/2026","","","","","","",""
"HD","HOME DEPOT INC","07/29/2026","03/20/2026","20","$341.00","$323.84","$6,820.06","$6,476.80","$343.26","5.299839426877%","","$343.26","Short Term","$6,476.80","No","","07/29/2026","","","","","","",""
"HD","HOME DEPOT INC","07/29/2026","03/10/2026","10","$341.00","$358.82","$3,410.03","$3,588.25","-$178.22","-4.966766529645%","","-$178.22","Short Term","$3,588.25","No","","07/29/2026","","","","","","",""
"WFC","WELLS FARGO & CO","07/02/2026","05/14/2026","100","$85.60","$74.16","$8,559.80","$7,416.00","$1,143.80","15.423408845739%","","$1,143.80","Short Term","$7,416.00","No","","07/02/2026","","","","","","",""
"TSLA","TESLA INC","07/01/2026","04/13/2026","60","$428.04","$350.00","$25,682.16","$21,000.00","$4,682.16","22.296%","","$4,682.16","Short Term","$21,000.00","No","","07/01/2026","","","","","","",""
"TSLA","TESLA INC","07/01/2026","03/20/2026","10","$428.04","$374.31","$4,280.36","$3,743.10","$537.26","14.353343485346%","","$537.26","Short Term","$3,743.10","No","","07/01/2026","","","","","","",""
"TSLA","TESLA INC","07/01/2026","03/20/2026","30","$428.04","$372.87","$12,841.08","$11,186.10","$1,654.98","14.794968755867%","","$1,654.98","Short Term","$11,186.10","No","","07/01/2026","","","","","","",""
"TSLL","DIREXION DAILY TSLA BULL 2X SHARES","07/01/2026","03/27/2026","1,000","$14.68","$12.26","$14,684.50","$12,256.65","$2,427.85","19.80843052547%","","$2,427.85","Short Term","$12,256.65","No","","07/01/2026","","","","","","",""
